code,total,venta,auto,pct_sold,pct_auto,name
1707.0,303939747.9567871,10956083.844024658,853674.8208312988,3.604689389155626,0.28086975348570425,Pastos
1701.0,231400143.414505,21555494.52165222,20148.5450592041,9.31524682897022,0.00870723101632318,Avena Forrajera
1802.0,900719288.9077129,165115496.5205059,11527884.536998749,18.33151555139212,1.2798531883311193,Alfalfa
1617.0,332199765.2598336,93177369.44680691,147491033.29883504,28.048595812199697,44.398295460405684,Yuca
1310.0,234056982.3081832,80049619.99017334,34929643.84152222,34.200910906717525,14.923564124026132,Trigo
1307.0,1561187744.097825,688608177.1541185,348136179.5051031,44.10796713959918,22.29944353722064,Maiz
1610.0,2289918225.6273813,1191501967.4509425,554452664.5594194,52.03251164676416,24.21277137123589,Papa
1501.0,212994870.84522247,132166308.2312088,49600735.536605835,62.0514041989539,23.287291069393557,Arveja (Alverjon)
1152.0,785224694.2998557,516620561.16976976,216618953.3923993,65.7927042947132,27.586874809833535,Platano O Guineo
1147.0,652603108.0989261,594640541.7898121,37658165.768250465,91.11825156978449,5.770454553603196,Palto
1302.0,1778945355.099474,1679615348.2475433,76387652.9518137,94.41635424229338,4.293985351086982,Arroz
1213.0,2061863887.0859356,1982079543.541748,7872505.177604675,96.13047475908083,0.381814979490766,Caf O Cafeto
1212.0,2186586874.1945124,2158329966.655879,2631863.050310135,98.70771621872821,0.12036398285248337,Cacao
1241.0,221296531.37432098,221236515.68561554,2648.0560302734375,99.97287996864084,0.0011966098220465443,Palmera Aceitera
