year,"Agro, pesca y mineria",Manufactura,Construccion,Comercio,Transporte y comunic.,Otros servicios
2004,34.2200849953659,9.765907403527171,3.710815041771705,18.73184183765568,11.60936448292933,21.961986238750217
2005,33.78860894952583,9.838354002362356,3.550900693356676,18.71816038285072,11.918478152047564,22.185497819856856
2006,32.98961875015885,9.989824173592888,3.967806116786509,18.71431323023176,12.328965661324535,22.009472067905463
2007,29.395115480774212,11.195357422375508,4.361811775677182,18.520894911513714,13.259655976280198,23.267164433379182
2008,28.66530560553888,11.047229947591294,4.614257747641417,18.265443521257477,13.943833405610818,23.463929772360117
2009,28.02821321783774,10.554502467172092,5.058150596444558,18.094652516741466,14.027996304519691,24.236484897284452
2010,26.869807290054304,10.489291337057084,5.640739404166929,18.427044945927534,14.48651193534819,24.086605087445957
2011,27.088892332568232,10.113525448020258,5.728020961947968,18.165506436409412,14.487561628194078,24.416493192860052
2012,25.9582270490276,10.44153105258199,6.01719513428206,18.814184585730686,14.217066905289649,24.551795273088015
2013,25.82356805322151,10.113811335292736,6.331509177099651,19.149500862553744,14.385354642819168,24.19625592901319
2014,26.024807870159403,9.511204820249995,6.523187169276763,19.040323814763997,14.928264426388875,23.972211899160968
2015,26.896774400464793,9.3863999895415,6.659188816020503,18.173789045729524,15.051150242872867,23.83269750537081
2016,26.42123290199786,9.519130852983698,6.245206656045672,18.287748303277564,15.20162101042158,24.32506027527363
2017,25.83455791775495,9.386001871858324,5.855762516145877,18.818399256083676,15.712172822191292,24.39310561596588
2018,25.859819922812378,8.97484689319112,6.040304704251557,18.789853169633144,16.30232635860466,24.032848951507145
2019,25.342205773527866,8.850969379529602,6.195969194657776,19.05839576546949,15.805197485155505,24.747262401659757
2020,33.023857478919375,8.432424788778736,6.321268301314647,17.65085613527919,13.296303250382303,21.27529004532574
2021,29.192374369471146,8.729089859959924,7.313450909160689,19.419638760197152,14.238030660985125,21.107415440225964
2022,25.850311437828545,9.14300354608442,7.469402475548354,19.388691770185726,15.632989759134388,22.515601011218568
2023,25.540267222366055,9.190251690570765,6.858250895032871,19.287634720346237,15.802187506159209,23.321407965524866
2024,24.209362120840247,9.07121205156499,6.974464330066111,19.052864102802964,16.40890692682255,24.283190467903136
2025,24.648985082680834,9.368872653798649,6.552354595297193,18.349606840001652,16.264205433761106,24.81597539446057
