prov,income_2021,pop_2021,nhh_2021,income_2025,pop_2025,nhh_2025,chg_pct,chg_soles
1608,1936.8658461382026,6176.005859375,5.0,625.4859255592796,18240.097534179688,24.0,-67.70628555372602,-1311.379920578923
1305,1307.7359790562596,42020.9296875,51.0,594.6989305177972,29335.692901611328,39.0,-54.5245416473922,-713.0370485384624
2303,2554.660615388443,7179.15087890625,46.0,1609.1260599933134,12188.0974111557,96.0,-37.012139683038036,-945.5345553951297
0204,1137.494021208339,3859.226318359375,8.0,767.5311328223712,10939.599365234375,16.0,-32.52438091876413,-369.96288838596786
1308,1152.495896267484,102891.5859375,94.0,801.751226965595,73353.70697021484,63.0,-30.43348531112551,-350.7446693018891
1311,1370.605763401934,34501.90625,38.0,982.8062603916411,23029.51544189453,21.0,-28.29402249467775,-387.7995030102928
0511,898.154221897461,38354.609375,67.0,658.0749278177169,32343.35614013672,58.0,-26.73029733941985,-240.07929407974405
0609,1101.689735830579,102316.03125,87.0,820.1916767835557,127528.97550964355,125.0,-25.551482408502057,-281.49805904702316
1208,1690.091236993412,42773.46484375,44.0,1291.076178331138,54134.53404998779,59.0,-23.609083931593055,-399.015058662274
0607,1128.0590623985158,118230.09375,107.0,864.0734219355893,131670.31226348877,110.0,-23.401756987939237,-263.98564046292654
1307,1415.6798472982941,130883.203125,95.0,1123.1894698012968,173855.2657546997,105.0,-20.66077143467081,-292.4903774969973
1001,1111.4305673425283,265977.5625,451.0,890.5333550416792,234614.79900991917,454.0,-19.875034823724757,-220.8972123008491
0502,737.1872144809595,32966.55078125,70.0,592.8693552856887,37229.6827545166,72.0,-19.576826125081737,-144.31785919527078
0405,1379.7825082124905,74757.640625,148.0,1128.5021745399986,89432.12112426758,166.0,-18.211590027911416,-251.2803336724919
1302,1512.1602138499256,198275.46875,126.0,1236.9539518918202,165221.62858581543,103.0,-18.199543900010205,-275.2062619581054
1005,955.6605142198237,95930.890625,114.0,792.614582517064,96334.40406799316,100.0,-17.061072344907547,-163.04593170275962
0103,1215.9272381276792,34203.0234375,62.0,1023.0246246053644,26944.830993652344,77.0,-15.864651064100844,-192.90261352231482
0503,1216.075983137814,35659.859375,42.0,1027.1726874150133,20628.708953857422,35.0,-15.533839853935582,-188.90329572280075
0306,995.191091981769,75574.9140625,118.0,842.0407698390044,66901.0378112793,103.0,-15.38903667614121,-153.1503221427646
1304,1699.6334429650328,95004.15625,54.0,1446.8975386801496,126946.90274047852,71.0,-14.870024200275921,-252.7359042848832
0605,583.6178796260045,20572.27734375,38.0,497.3266124271768,28326.232421875,37.0,-14.785576352480001,-86.29126719882771
0603,893.779235942366,154858.21875,125.0,765.3217475040585,123902.44180297852,109.0,-14.37239569599834,-128.45748843830745
1504,1217.5629227631648,12260.119140625,43.0,1050.2890753216896,19155.364028930664,33.0,-13.738415018573347,-167.27384744147525
1009,1086.2696810086238,25947.921875,47.0,940.4872053789687,29690.346870422363,57.0,-13.420468064090041,-145.7824756296551
1306,789.1569682933614,111696.7265625,110.0,687.0391813943852,90240.05834960938,105.0,-12.940110903388092,-102.11778689897619
1008,806.7380297858718,104292.921875,125.0,702.3979792291544,94156.84930419922,78.0,-12.933572820957984,-104.34005055671742
1312,1439.408310839549,96351.140625,48.0,1255.760383679844,138926.13969421387,78.0,-12.758570711085483,-183.64792715970498
2401,1293.0618359399668,157790.65625,557.0,1143.054869907356,161972.57457256317,541.0,-11.60091202626563,-150.00696603261076
0611,761.5410560864706,75331.8828125,70.0,681.8066018151618,59366.76696014404,58.0,-10.470145192310575,-79.73445427130878
0809,992.9725710508808,135609.1875,153.0,889.1731760768881,134942.4300403595,168.0,-10.45340002334001,-103.79939497399266
2002,761.7726586772408,107180.421875,117.0,682.4043246392218,119627.87805175781,111.0,-10.41890032858831,-79.36833403801893
0408,935.7865427959354,16587.29296875,36.0,845.1136668684925,19672.280471801758,35.0,-9.689482780606273,-90.67287592744287
1011,804.1372997823727,43059.4765625,63.0,728.2356084700737,42696.633209228516,51.0,-9.438896981005684,-75.90169131229902
0602,953.5228484134295,80278.7734375,61.0,870.6565506336733,97471.93704223633,80.0,-8.690541387407524,-82.86629777975622
0806,1062.0803098973213,132671.453125,114.0,972.4446427736818,149753.52734375,104.0,-8.439631757442633,-89.63566712363945
0608,1078.0045150022493,169334.125,173.0,988.1814550600176,171233.3731994629,179.0,-8.332345430115783,-89.82305994223168
2006,1309.4286124635703,334337.375,269.0,1203.352212949258,350870.5796298981,266.0,-8.100968506770235,-106.07639951431224
0214,1317.8922406218437,13615.8779296875,22.0,1217.006812720173,13796.25814819336,24.0,-7.655058948830917,-100.88542790167071
0509,923.5406898731229,17134.1953125,39.0,853.6978887931024,11392.312286376953,23.0,-7.562503942258958,-69.84280108002054
0307,828.0557033057842,22533.419921875,54.0,766.87725841288,20332.231674194336,45.0,-7.388204036113278,-61.17844489290417
2007,1310.7799835209648,130798.9453125,125.0,1219.8463047383002,130940.35842895508,106.0,-6.937371635657897,-90.93367878266463
