,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,60.6,28.3,7.6,2.9,0.5
q2_origen,22.5,35.5,25.0,11.1,5.8
q3_origen,11.0,21.5,36.1,20.5,10.9
q4_origen,3.5,14.8,25.3,29.2,27.2
q5_origen,1.4,4.4,14.4,29.6,50.3
