from,to,informalizacion,formalizacion
2018,2019,15.54142792722741,11.094547002206182
2019,2020,47.9488313065081,4.334788518709098
2020,2021,30.40908816071616,18.114166093618337
2021,2022,18.22040633056325,9.422937148443166
