ym,pea_ocupada_mil,adecuado_mil,subempleo_mil
201607,4726.8,3068.7,1658.1
201608,4734.2,3080.7,1653.5
201609,4736.3,3064.1,1672.2
201610,4783.7,3101.5,1682.2
201611,4827.2,3140.4,1686.8
201612,4873.5,3142.8,1730.7
201701,4831.6,3105.5,1726.1
201702,4805.1,3101.6,1703.5
201703,4785.1,3103.0,1682.1
201704,4831.5,3064.0,1767.5
201705,4810.1,3041.3,1768.8
201706,4813.0,3057.8,1755.2
201707,4825.6,3093.6,1732.0
201708,4900.5,3104.8,1795.7
201709,4894.1,3087.8,1806.3
201710,4872.0,3119.6,1752.4
201711,4848.2,3126.2,1722.0
201712,4903.2,3159.7,1743.5
201801,4853.1,3077.3,1775.8
201802,4830.4,3055.6,1774.8
201803,4800.3,3024.3,1776.0
201804,4853.6,3057.1,1796.5
201805,4856.1,3027.7,1828.4
201806,4859.9,3033.4,1826.5
201807,4893.6,3080.2,1813.4
201808,4920.4,3138.7,1781.7
201809,4915.6,3126.0,1789.6
201810,4889.9,3128.7,1761.2
201811,4953.5,3140.5,1813.0
201812,4982.5,3161.9,1820.6
201901,4934.5,3082.0,1852.5
201902,4856.2,3057.9,1798.3
201903,4829.7,3056.9,1772.8
201904,4871.5,3123.2,1748.3
201905,4867.5,3120.3,1747.2
201906,4897.0,3150.8,1746.2
201907,4908.2,3153.2,1755.0
201908,4932.1,3185.0,1747.1
201909,4927.4,3177.0,1750.4
201910,4931.6,3210.7,1720.9
201911,4961.9,3231.7,1730.2
201912,5014.8,3310.0,1704.8
202001,5037.3,3251.2,1786.1
202002,4997.6,3170.4,1827.2
202003,4824.0,2935.9,1888.1
202004,3654.9,2184.1,1470.8
202005,2549.2,1435.7,1113.5
202006,2197.9,1101.0,1096.9
202007,2935.3,1389.4,1545.9
202008,3611.3,1683.5,1927.8
202009,3749.9,1686.6,2063.3
202010,3872.8,1776.6,2096.2
202011,4142.7,2080.7,2062.0
202012,4355.8,2280.6,2075.2
202101,4438.6,2380.5,2058.0
202102,4235.2,2085.0,2150.2
202103,4117.1,1993.8,2123.3
202104,4109.5,1954.8,2154.7
202105,4409.1,2195.9,2213.2
202106,4574.9,2299.1,2275.8
202107,4666.0,2421.7,2244.3
202108,4646.3,2428.5,2217.8
202109,4655.3,2486.3,2169.0
202110,4714.4,2481.1,2233.4
202111,4812.8,2560.6,2252.2
202112,4909.3,2640.5,2268.8
202201,4861.9,2660.0,2201.9
202202,4878.2,2680.4,2197.8
202203,4921.1,2716.3,2204.9
202204,5051.0,2758.6,2292.4
202205,5113.0,2829.4,2283.6
202206,5087.7,2845.5,2242.1
202207,5064.9,2882.5,2182.4
202208,5015.4,2859.9,2155.6
202209,4982.9,2919.7,2063.2
202210,4994.2,2958.2,2036.0
202211,5032.4,2989.5,2042.8
202212,5084.6,2999.4,2085.2
