UBIGEO,DEPARTAMEN,PROVINCIA,DISTRITO,left21,left26
010523,AMAZONAS,LUYA,TRITA,77.12609970674487,70.17114914425427
010601,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,51.19296776894098,48.44115354637568
010602,AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,58.191489361702125,57.569296375266525
010603,AMAZONAS,RODRIGUEZ DE MENDOZA,COCHAMAL,62.47086247086247,61.25760649087221
010604,AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,42.32589587559161,40.12658227848101
010605,AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,63.151041666666664,58.485958485958484
010606,AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,59.185918591859185,51.60320641282565
010607,AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,51.84834123222749,43.07974335472044
010608,AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,60.81504702194357,52.1865889212828
010609,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,68.42822119313539,61.84
010610,AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,56.79012345679013,45.29262086513995
010611,AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,51.48936170212766,43.24324324324324
010612,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,76.80851063829788,68.87009992313605
010701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,64.44332219718747,62.923423589819365
010702,AMAZONAS,UTCUBAMBA,CAJARURO,69.90378833433554,69.17464302526282
010703,AMAZONAS,UTCUBAMBA,CUMBA,63.640650789908044,61.756053405747906
010704,AMAZONAS,UTCUBAMBA,EL MILAGRO,58.06686046511628,57.84687591669111
010705,AMAZONAS,UTCUBAMBA,JAMALCA,68.43003412969283,72.75139294242504
010706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,62.38748392627518,61.76639265914739
010707,AMAZONAS,UTCUBAMBA,YAMON,67.2939649578196,64.94221243808475
020101,ANCASH,HUARAZ,HUARAZ,63.421649427512584,58.574219302964245
020102,ANCASH,HUARAZ,COCHABAMBA,53.84615384615385,55.83224115334207
020103,ANCASH,HUARAZ,COLCABAMBA,64.4578313253012,54.2713567839196
020104,ANCASH,HUARAZ,HUANCHAY,60.22610483042138,62.88117770767613
020105,ANCASH,HUARAZ,INDEPENDENCIA,64.88012374323279,60.051457521020666
020106,ANCASH,HUARAZ,JANGAS,65.60913705583756,60.04652515266066
020107,ANCASH,HUARAZ,LA LIBERTAD,52.84552845528455,54.86935866983373
020108,ANCASH,HUARAZ,OLLEROS,73.09536494405967,69.11838790931989
020109,ANCASH,HUARAZ,PAMPAS GRANDE,68.24877250409165,66.14173228346456
020110,ANCASH,HUARAZ,PARIACOTO,52.38273921200751,53.574173712528825
020111,ANCASH,HUARAZ,PIRA,61.59060099412562,57.48752079866888
020112,ANCASH,HUARAZ,TARICA,65.09129967776585,62.268459781781274
020201,ANCASH,AIJA,AIJA,68.23869104908566,63.74781085814361
020202,ANCASH,AIJA,CORIS,55.41871921182266,55.46786922209696
020203,ANCASH,AIJA,HUACLLAN,77.86561264822134,68.35443037974683
020204,ANCASH,AIJA,LA MERCED,59.027205276174776,55.29953917050691
020205,ANCASH,AIJA,SUCCHA,60.09501187648456,56.351039260969976
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,85.42372881355932,81.11753371868978
020302,ANCASH,ANTONIO RAYMONDI,ACZO,82.28155339805825,78.13299232736573
020303,ANCASH,ANTONIO RAYMONDI,CHACCHO,86.57616892911011,87.5
020304,ANCASH,ANTONIO RAYMONDI,CHINGAS,84.01997503121099,75.48682703321879
020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,92.34527687296416,89.23900118906064
020306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,79.02621722846442,76.42436149312377
020401,ANCASH,ASUNCION,CHACAS,78.83477469276286,73.65184484389782
020402,ANCASH,ASUNCION,ACOCHACA,75.70469798657719,66.35111876075732
020501,ANCASH,BOLOGNESI,CHIQUIAN,71.47613762486127,67.27473742399116
020502,ANCASH,BOLOGNESI,ABELARDO PARDO LEZAMETA,67.28971962616822,60.833333333333336
020503,ANCASH,BOLOGNESI,ANTONIO RAYMONDI,74.92625368731564,72.69076305220884
020504,ANCASH,BOLOGNESI,AQUIA,62.23091976516634,57.61531766753699
020505,ANCASH,BOLOGNESI,CAJACAY,61.83431952662722,56.34837355718783
020506,ANCASH,BOLOGNESI,CANIS,52.30769230769231,63.03030303030303
020507,ANCASH,BOLOGNESI,COLQUIOC,58.2827406764961,52.14227970897332
020508,ANCASH,BOLOGNESI,HUALLANCA,59.11803713527851,56.23728813559322
020509,ANCASH,BOLOGNESI,HUASTA,69.52010376134889,65.90361445783132
020510,ANCASH,BOLOGNESI,HUAYLLACAYAN,82.75862068965517,82.79569892473118
020511,ANCASH,BOLOGNESI,LA PRIMAVERA,80.92105263157895,80.0
020512,ANCASH,BOLOGNESI,MANGAS,64.1025641025641,65.57377049180327
020513,ANCASH,BOLOGNESI,PACLLON,83.98576512455516,84.9802371541502
020514,ANCASH,BOLOGNESI,SAN MIGUEL DE CORPANQUI,61.53846153846154,58.91891891891892
020515,ANCASH,BOLOGNESI,TICLLOS,53.45454545454545,43.39622641509434
020601,ANCASH,CARHUAZ,CARHUAZ,69.79768786127168,69.26411999062573
020602,ANCASH,CARHUAZ,ACOPAMPA,64.9405178446466,60.701107011070114
020603,ANCASH,CARHUAZ,AMASHCA,76.57580919931857,75.86206896551724
020604,ANCASH,CARHUAZ,ANTA,67.95615731785945,65.76086956521739
020605,ANCASH,CARHUAZ,ATAQUERO,61.8860510805501,61.761297798377754
020606,ANCASH,CARHUAZ,MARCARA,64.42882249560633,65.1795965228801
020607,ANCASH,CARHUAZ,PARIAHUANCA,69.32447397563676,60.414394765539804
020608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,70.08032128514056,60.362694300518136
020609,ANCASH,CARHUAZ,SHILLA,87.58915834522111,83.58358358358359
020610,ANCASH,CARHUAZ,TINCO,63.53591160220994,59.21625544267054
020611,ANCASH,CARHUAZ,YUNGAR,60.31662269129288,54.71230158730159
020701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,76.5408402644487,72.64258123153829
020702,ANCASH,CARLOS FERMIN FITZCARRALD,SAN NICOLAS,81.95804195804196,86.78206136900079
020703,ANCASH,CARLOS FERMIN FITZCARRALD,YAUYA,83.38235294117646,81.49700598802396
020801,ANCASH,CASMA,CASMA,39.81130029280989,40.1792078199776
020802,ANCASH,CASMA,BUENA VISTA ALTA,51.093210586881476,51.97098707032482
020803,ANCASH,CASMA,COMANDANTE NOEL,45.629139072847686,44.332344213649854
020804,ANCASH,CASMA,YAUTAN,45.538818076477405,44.32080621457065
020901,ANCASH,CORONGO,CORONGO,59.859154929577464,56.0
020902,ANCASH,CORONGO,ACO,40.77669902912621,50.76923076923077
020903,ANCASH,CORONGO,BAMBAS,65.96638655462185,68.20083682008368
020904,ANCASH,CORONGO,CUSCA,69.18194640338506,70.26490066225166
020905,ANCASH,CORONGO,LA PAMPA,42.181069958847736,45.294117647058826
020906,ANCASH,CORONGO,YANAC,62.22826086956522,52.185792349726775
020907,ANCASH,CORONGO,YUPAN,44.71153846153846,40.526315789473685
021001,ANCASH,HUARI,HUARI,78.72394509405186,74.92730210016155
021002,ANCASH,HUARI,ANRA,75.39149888143177,74.36170212765957
021003,ANCASH,HUARI,CAJAY,84.97695852534562,79.72865123703113
021004,ANCASH,HUARI,CHAVIN DE HUANTAR,76.74775928297055,72.32488182208853
021005,ANCASH,HUARI,HUACACHI,88.9908256880734,86.34719710669077
021006,ANCASH,HUARI,HUACCHIS,80.27812895069532,77.21046077210461
021007,ANCASH,HUARI,HUACHIS,76.5493306891423,71.18279569892474
021008,ANCASH,HUARI,HUANTAR,87.30794923179693,81.21041520056298
021009,ANCASH,HUARI,MASIN,75.57003257328991,71.84115523465704
021010,ANCASH,HUARI,PAUCAS,82.69794721407625,77.12137486573577
021011,ANCASH,HUARI,PONTO,90.42553191489361,78.07981492192019
021012,ANCASH,HUARI,RAHUAPAMPA,67.46031746031746,64.81481481481481
021013,ANCASH,HUARI,RAPAYAN,92.13483146067416,81.14434330299089
021014,ANCASH,HUARI,SAN MARCOS,78.83371385083714,69.34301792959037
021015,ANCASH,HUARI,SAN PEDRO DE CHANA,83.07692307692308,74.17929292929293
021016,ANCASH,HUARI,UCO,67.09770114942529,63.9572192513369
021101,ANCASH,HUARMEY,HUARMEY,43.93766085215899,44.325910121349516
021102,ANCASH,HUARMEY,COCHAPETI,80.52208835341365,75.47495682210707
021103,ANCASH,HUARMEY,CULEBRAS,33.736654804270465,38.18051575931232
021104,ANCASH,HUARMEY,HUAYAN,55.90717299578059,57.312252964426875
021105,ANCASH,HUARMEY,MALVAS,69.21487603305785,73.4341252699784
021201,ANCASH,HUAYLAS,CARAZ,47.639921722113506,44.721268356834955
021202,ANCASH,HUAYLAS,HUALLANCA,56.32411067193676,58.32147937411095
021203,ANCASH,HUAYLAS,HUATA,45.94257178526841,47.26867335562988
021204,ANCASH,HUAYLAS,HUAYLAS,48.5781990521327,46.34146341463415
021205,ANCASH,HUAYLAS,MATO,45.869191049913944,42.64705882352941
021206,ANCASH,HUAYLAS,PAMPAROMAS,42.24519940915805,46.160767846430716
021207,ANCASH,HUAYLAS,PUEBLO LIBRE,49.14707238358691,46.83136412459721
021208,ANCASH,HUAYLAS,SANTA CRUZ,51.16189000774593,46.56195462478185
021209,ANCASH,HUAYLAS,SANTO TORIBIO,55.447470817120625,57.30337078651685
021210,ANCASH,HUAYLAS,YURACMARCA,66.23931623931624,66.22464898595943
021301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,85.77405857740585,82.7127659574468
021302,ANCASH,MARISCAL LUZURIAGA,CASCA,83.69791666666667,76.4589515331355
021303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,60.636182902584494,66.86390532544378
021304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,83.23959505061868,76.00554785020805
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,69.86564299424184,66.4259927797834
021306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,90.48833819241983,87.62254901960785
021307,ANCASH,MARISCAL LUZURIAGA,LUCMA,81.73333333333333,78.34132967786155
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,85.6,82.16463414634147
021401,ANCASH,OCROS,OCROS,52.61437908496732,46.71669793621013
021402,ANCASH,OCROS,ACAS,53.374233128834355,48.10126582278481
021403,ANCASH,OCROS,CAJAMARQUILLA,37.34939759036145,39.795918367346935
021404,ANCASH,OCROS,CARHUAPAMPA,57.89473684210526,54.180602006688964
021405,ANCASH,OCROS,COCHAS,39.10828025477707,42.17907227615965
021406,ANCASH,OCROS,CONGAS,55.02846299810247,44.66403162055336
021407,ANCASH,OCROS,LLIPA,41.52542372881356,43.85964912280702
021408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,52.96803652968037,63.63636363636363
021409,ANCASH,OCROS,SAN PEDRO,57.2463768115942,55.33661740558292
021410,ANCASH,OCROS,SANTIAGO DE CHILCAS,29.55665024630542,33.480176211453745
021501,ANCASH,PALLASCA,CABANA,67.10875331564986,59.45229681978799
021502,ANCASH,PALLASCA,BOLOGNESI,75.92592592592592,67.78656126482214
021503,ANCASH,PALLASCA,CONCHUCOS,76.61961635903003,74.23450336071696
021504,ANCASH,PALLASCA,HUACASCHUQUE,80.45977011494253,77.29083665338645
021505,ANCASH,PALLASCA,HUANDOVAL,76.5375854214123,76.45739910313901
021506,ANCASH,PALLASCA,LACABAMBA,74.48559670781893,70.49808429118774
021507,ANCASH,PALLASCA,LLAPO,69.33333333333333,59.786476868327405
021508,ANCASH,PALLASCA,PALLASCA,71.41659681475272,71.59574468085107
021509,ANCASH,PALLASCA,PAMPAS,85.92995169082126,84.49266113592853
021510,ANCASH,PALLASCA,SANTA ROSA,62.02290076335878,57.486136783733826
021511,ANCASH,PALLASCA,TAUCA,55.500413564929694,48.89253486464315
021601,ANCASH,POMABAMBA,POMABAMBA,83.38475779080531,77.19070069907332
021602,ANCASH,POMABAMBA,HUAYLLAN,87.60285244103127,79.9011532125206
021603,ANCASH,POMABAMBA,PAROBAMBA,61.91677175283733,63.18312559923298
021604,ANCASH,POMABAMBA,QUINUABAMBA,64.82300884955752,59.49943117178612
021701,ANCASH,RECUAY,RECUAY,70.24927160893493,69.2084942084942
021702,ANCASH,RECUAY,CATAC,79.92233009708738,75.0
021703,ANCASH,RECUAY,COTAPARACO,58.54430379746835,56.779661016949156
021704,ANCASH,RECUAY,HUAYLLAPAMPA,74.24593967517401,76.10837438423646
021705,ANCASH,RECUAY,LLACLLIN,78.839590443686,75.03974562798092
021706,ANCASH,RECUAY,MARCA,62.25045372050817,59.63020030816641
021707,ANCASH,RECUAY,PAMPAS CHICO,67.48582230623819,66.05166051660517
021708,ANCASH,RECUAY,PARARIN,72.8512960436562,69.89100817438693
021709,ANCASH,RECUAY,TAPACOCHA,72.51908396946565,73.78277153558052
021710,ANCASH,RECUAY,TICAPAMPA,75.208734746307,67.24458204334366
