sector,compH,compM,persH,persM,wH,wM,brecha,ratioMH,pct_mujer,wH_miles,wM_miles
Agro/Pesca,1454238078.66,494358377.3,42787.549999999996,23085.97,33987.41172747681,21413.801425714406,37.0,0.63,35.0,34.0,21.4
Manufactura,16120742281.890001,6591350801.59,583849.96,295480.77999999997,27611.10454112218,22307.206585788765,19.2,0.808,33.6,27.6,22.3
Aloj./Restaurantes,1748430941.6299999,1034179415.64,98135.59000000001,66683.81,17816.481682435493,15508.70317157943,13.0,0.87,40.5,17.8,15.5
Electr./Agua,621594474.04,163885616.48,8739.480000000001,2617.28,71124.88088993852,62616.768737009406,12.0,0.88,23.0,71.1,62.6
Comercio,12566984336.53,7408671076.5,345927.97000000003,227802.72000000003,36328.32678008083,32522.31174632155,10.5,0.895,39.7,36.3,32.5
Otros servicios,25500962358.399998,14857221673.03,698097.7600000001,443040.14,36529.2138430583,33534.707877778295,8.2,0.918,38.8,36.5,33.5
Construccion,9758431268.47,1764675018.9,328478.95999999996,53132.93,29707.934013399215,33212.45447785394,-11.8,1.118,13.9,29.7,33.2
Transp./Comunic.,10048496871.169998,3182850197.5,292043.22,80894.47,34407.567726345434,39345.70802553005,-14.4,1.144,21.7,34.4,39.3
