,q1_destino,q2_destino,q3_destino,q4_destino,q5_destino
q1_origen,49.4,28.7,14.3,6.4,1.2
q2_origen,14.9,26.9,29.8,22.7,5.7
q3_origen,21.9,16.3,27.0,23.5,11.3
q4_origen,7.8,14.9,30.0,24.8,22.4
q5_origen,3.2,11.2,10.1,22.9,52.7
