year,piso_tierra,hacinamiento,p103_missing
2004,39.78222575105894,22.965206740256864,0.2007112970711297
2005,39.31036129392295,21.60176887754641,0.23897359903287446
2006,37.9205568915698,20.882228662295184,0.21916534273646684
2007,35.89351220446007,19.427388970132533,0.18181475477815057
2008,34.49264544515981,19.254628061648788,0.19281045751633988
2009,33.01929284890423,18.060145137141756,0.20031581321903902
2010,31.60939862533723,17.26115175575549,0.2249779216956138
2011,31.352406730432108,16.134804911176673,0.25212952427811436
2012,29.80626095713869,14.815271953653026,0.24294844220487924
2013,30.313133104465308,14.179077597451972,0.24551366065127533
2014,30.01443357097135,13.194095211984516,0.24239252336448597
2015,29.377990561976453,13.11014179252089,0.20216742342523142
2016,28.10551270273373,12.77081191854131,0.21227097664685324
2017,27.206000957344028,11.574682781877229,0.21527155815822713
2018,26.15244583702771,10.57060737519236,0.2232075471698113
2019,24.877136921577783,9.929275666190582,0.22093553387435033
2020,24.144825360132337,9.119911768369905,0.3602755367538326
2021,23.61734101714603,9.493697448788033,0.22178568146310082
2022,23.52462110952879,9.538785257409952,0.232718371787317
2023,23.299144511076875,9.144534537201828,0.24482851863535987
2024,22.154713503215305,8.447284118129666,0.2546556079676287
2025,22.71731984700099,7.858130641792499,0.25260656068521714
